miRNA	precursor	p50_ac1	p50_ac2	p50_ac3	p50_ck1	p50_ck2	p50_ck3
bmo-miR-100	aae-mir-100	3	4	0	3	6	5
bmo-miR-184-3p	aae-mir-184	75	73	84	75	54	147
bmo-miR-275-3p	aae-mir-275	2	0	0	2	0	4
bmo-miR-276-3p	aae-mir-276-1	11	3	13	11	7	23
bmo-miR-277-3p	aae-mir-277	2	0	2	2	0	0
bmo-miR-307-3p	aae-mir-307	2	1	0	2	0	0
bmo-miR-317-3p	aae-mir-317-1	1	0	2	1	0	1
bmo-miR-317-3p	aae-mir-317-2	1	0	2	1	0	1
bmo-miR-7-5p	aae-mir-7	6	2	1	6	4	3
bmo-miR-8-3p	aae-mir-8	4	2	0	4	0	7
bmo-miR-100	abu-mir-100-1	1	0	0	1	0	0
bmo-miR-100	abu-mir-100-2	1	0	1	1	2	1
bmo-miR-7-5p	abu-mir-7-1	6	2	2	6	2	3
bmo-let-7-5p	aca-let-7a	3	0	0	3	1	0
bmo-let-7-5p	aca-let-7a-3	3	0	0	3	1	0
bmo-miR-100	aca-mir-100	5	2	1	5	0	12
bmo-miR-7-5p	aca-mir-7-2	6	2	2	6	2	3
bmo-miR-184-3p	aga-mir-184	71	55	77	71	82	146
bmo-miR-2a-3p	aga-mir-2-1	1	0	0	1	0	0
bmo-miR-276-3p	aga-mir-276	3	1	8	3	3	9
bmo-miR-277-3p	aga-mir-277	2	0	2	2	0	0
bmo-miR-307-3p	aga-mir-307	2	1	0	2	0	0
bmo-miR-79-3p	aga-mir-79	1	2	3	1	0	0
bmo-miR-8-3p	aga-mir-8	4	2	0	4	0	7
bmo-miR-7-5p	aja-mir-7	6	2	2	6	2	3
bmo-let-7-5p	ame-let-7	1	0	0	1	0	0
bmo-miR-100	ame-mir-100	1	1	7	1	3	4
bmo-miR-14-3p	ame-mir-14	9	8	0	9	8	3
bmo-miR-184-3p	ame-mir-184	75	70	85	75	51	146
bmo-miR-2a-3p	ame-mir-2-1	1	0	0	1	0	0
bmo-miR-7-5p	ame-mir-7	1	4	0	1	1	10
bmo-miR-8-3p	ame-mir-8	4	1	0	4	2	4
bmo-let-7-5p	ami-let-7a-1	3	0	0	3	1	0
bmo-let-7-5p	ami-let-7a-2	2	0	0	2	0	0
bmo-let-7-5p	ami-let-7a-3	3	0	0	3	1	0
bmo-miR-100	ami-mir-100	1	0	1	1	2	1
bmo-miR-7-5p	ami-mir-7a-1	6	2	2	6	2	3
bmo-miR-7-5p	ami-mir-7a-2	1	1	0	1	1	1
bmo-miR-184-3p	api-mir-184a	25	12	16	25	42	25
bmo-miR-7-5p	api-mir-7	1	0	1	1	2	0
bmo-let-7-5p	asu-let-7	1	2	2	1	6	4
bmo-miR-100	asu-mir-100a-1	4	0	3	4	2	3
bmo-miR-100	asu-mir-100a-2	3	0	0	3	2	3
bmo-miR-100	bbe-mir-100	2	0	3	2	9	0
bmo-miR-184-3p	bdo-mir-184	1	1	2	1	0	0
bmo-miR-100	bfl-mir-100	2	0	3	2	9	0
bmo-let-7-5p	bma-let-7	1	1	0	1	0	0
bmo-miR-100	bma-mir-100b	4	0	0	4	0	2
bmo-bantam-3p	bmo-bantam	16	14	13	16	26	29
bmo-let-7-5p	bmo-let-7	5	0	0	5	2	3
